corpus	value	metric	metric_type	technique	random_seed
WikiNER-en	92.	tp	exact	nothing	42
WikiNER-en	0.6715	precision	exact	nothing	42
WikiNER-en	0.6053	recall	exact	nothing	42
WikiNER-en	0.6367	f1	exact	nothing	42
WikiNER-en	50.	PER_tp	exact	nothing	42
WikiNER-en	0.8475	PER_precision	exact	nothing	42
WikiNER-en	0.7692	PER_recall	exact	nothing	42
WikiNER-en	0.8065	PER_f1	exact	nothing	42
WikiNER-en	25.	LOC_tp	exact	nothing	42
WikiNER-en	0.7353	LOC_precision	exact	nothing	42
WikiNER-en	0.4630	LOC_recall	exact	nothing	42
WikiNER-en	0.5682	LOC_f1	exact	nothing	42
WikiNER-en	17.	ORG_tp	exact	nothing	42
WikiNER-en	0.3864	ORG_precision	exact	nothing	42
WikiNER-en	0.5152	ORG_recall	exact	nothing	42
WikiNER-en	0.4416	ORG_f1	exact	nothing	42
WikiNER-en	94.	tp	partial	nothing	42
WikiNER-en	0.6861	precision	partial	nothing	42
WikiNER-en	0.6184	recall	partial	nothing	42
WikiNER-en	0.6505	f1	partial	nothing	42
WikiNER-en	51.	PER_tp	partial	nothing	42
WikiNER-en	0.8644	PER_precision	partial	nothing	42
WikiNER-en	0.7846	PER_recall	partial	nothing	42
WikiNER-en	0.8226	PER_f1	partial	nothing	42
WikiNER-en	25.	LOC_tp	partial	nothing	42
WikiNER-en	0.7353	LOC_precision	partial	nothing	42
WikiNER-en	0.4630	LOC_recall	partial	nothing	42
WikiNER-en	0.5682	LOC_f1	partial	nothing	42
WikiNER-en	18.	ORG_tp	partial	nothing	42
WikiNER-en	0.4091	ORG_precision	partial	nothing	42
WikiNER-en	0.5455	ORG_recall	partial	nothing	42
WikiNER-en	0.4675	ORG_f1	partial	nothing	42
WikiNER-en	102.	tp	exact	control	42
WikiNER-en	0.5965	precision	exact	control	42
WikiNER-en	0.6711	recall	exact	control	42
WikiNER-en	0.6316	f1	exact	control	42
WikiNER-en	52.	PER_tp	exact	control	42
WikiNER-en	0.8966	PER_precision	exact	control	42
